date,deaths,confirmed,recovered,projectedDeaths,lethality,derivedConfirmed,derivedLethality,testCoverage,deaths_per1mio,confirmed_per1mio,recovered_per1mio,projectedDeaths_per1mio,derivedConfirmed_per1mio
2020-01-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0,3.0,0.0,0.0,0.0,33.0,0.0,0.091,0.0,0.0,0.0,0.0,1.0
2020-02-08,0,3.0,0.0,0.0,0.0,67.0,0.0,0.045,0.0,0.0,0.0,0.0,1.0
2020-02-09,0,3.0,0.0,0.0,0.0,100.0,0.0,0.03,0.0,0.0,0.0,0.0,2.0
2020-02-10,0,3.0,0.0,0.0,0.0,233.0,0.0,0.013,0.0,0.0,0.0,0.0,4.0
2020-02-11,0,3.0,0.0,0.0,0.0,333.0,0.0,0.009,0.0,0.0,0.0,0.0,6.0
2020-02-12,0,3.0,0.0,0.0,0.0,400.0,0.0,0.008,0.0,0.0,0.0,0.0,7.0
2020-02-13,0,3.0,0.0,0.0,0.0,567.0,0.0,0.005,0.0,0.0,0.0,0.0,9.0
2020-02-14,0,3.0,0.0,0.0,0.0,700.0,0.0,0.004,0.0,0.0,0.0,0.0,12.0
2020-02-15,0,3.0,0.0,0.0,0.0,967.0,0.0,0.003,0.0,0.0,0.0,0.0,16.0
2020-02-16,0,3.0,0.0,0.0,0.0,1133.0,0.0,0.003,0.0,0.0,0.0,0.0,19.0
2020-02-17,0,3.0,0.0,0.0,0.0,1733.0,0.0,0.002,0.0,0.0,0.0,0.0,29.0
2020-02-18,0,3.0,0.0,0.0,0.0,2633.0,0.0,0.001,0.0,0.0,0.0,0.0,44.0
2020-02-19,0,3.0,0.0,0.0,0.0,3567.0,0.0,0.001,0.0,0.0,0.0,0.0,59.0
2020-02-20,0,3.0,0.0,0.0,0.0,4933.0,0.0,0.001,0.0,0.0,0.0,0.0,82.0
2020-02-21,1,20.0,0.0,0.0,0.05,6567.0,0.0,0.003,0.0,0.0,0.0,0.0,109.0
2020-02-22,2,62.0,1.0,0.0,0.032,7767.0,0.0,0.008,0.0,1.0,0.0,0.0,129.0
2020-02-23,3,155.0,2.0,0.0,0.019,12200.0,0.0,0.013,0.0,3.0,0.0,0.0,202.0
2020-02-24,7,229.0,1.0,0.0,0.031,15433.0,0.0,0.015,0.0,4.0,0.0,0.0,255.0
2020-02-25,10,322.0,1.0,0.0,0.031,21033.0,0.0,0.015,0.0,5.0,0.0,0.0,348.0
2020-02-26,12,453.0,3.0,0.0,0.026,27567.0,0.0,0.016,0.0,7.0,0.0,0.0,456.0
2020-02-27,17,655.0,45.0,0.0,0.026,27567.0,0.001,0.024,0.0,11.0,1.0,0.0,456.0
2020-02-28,21,888.0,46.0,0.0,0.024,42200.0,0.0,0.021,0.0,15.0,1.0,0.0,698.0
2020-02-29,29,1128.0,46.0,0.0,0.026,48033.0,0.001,0.023,0.0,19.0,1.0,0.0,795.0
2020-03-01,34,1694.0,83.0,0.0,0.02,60300.0,0.001,0.028,1.0,28.0,1.0,0.0,998.0
2020-03-02,52,2036.0,149.0,0.0,0.026,71933.0,0.001,0.028,1.0,34.0,2.0,0.0,1190.0
2020-03-03,79,2502.0,160.0,0.0,0.032,83433.0,0.001,0.03,1.0,41.0,3.0,0.0,1381.0
2020-03-04,107,3089.0,276.0,0.0,0.035,99267.0,0.001,0.031,2.0,51.0,5.0,0.0,1643.0
2020-03-05,148,3858.0,414.0,0.0,0.038,113500.0,0.001,0.034,2.0,64.0,7.0,0.0,1878.0
2020-03-06,197,4636.0,523.0,0.0,0.042,134400.0,0.001,0.034,3.0,77.0,9.0,0.0,2224.0
2020-03-07,233,5883.0,589.0,0.0,0.04,160833.0,0.001,0.037,4.0,97.0,10.0,0.0,2661.0
2020-03-08,366,7375.0,622.0,0.0,0.05,182533.0,0.002,0.04,6.0,122.0,10.0,0.0,3021.0
2020-03-09,463,9172.0,724.0,0.0,0.05,202567.0,0.002,0.045,8.0,152.0,12.0,0.0,3352.0
